timestamp,cpu_by_svc__series_0 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.8oss0ybm44rk9qstbv2er3xu3.ud0dxowe8ax3wblxo8eed0gax'},cpu_by_svc__series_1 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.eaxfwhx09aj4komi6zsd3ewhj.mlzz4hqbxoar2vkloyxmrcrg9'},cpu_by_svc__series_2 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.r74oogu6jmq0vh03nkm5i6i26.skmdgmbk6nvdu19f2jqing4ms'},cpu_by_svc__series_3 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.x4tglh5k2fh3tulf079kq1ynf.nydklxmrppo2uu8kelb4iz434'},cpu_by_svc__series_4 {'container_label_com_docker_swarm_task_name': 'chat-eda_elasticsearch.1.pl5svnbb5pdlpb63a1npzlb41'},cpu_by_svc__series_5 {'container_label_com_docker_swarm_task_name': 'chat-eda_gateway.1.n8yt24p1a0fnex97ugbmd4o4p'},cpu_by_svc__series_6 {'container_label_com_docker_swarm_task_name': 'chat-eda_kafka.1.j5k67p13gu7bp81yfugtj9fuy'},cpu_by_svc__series_7 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.8oss0ybm44rk9qstbv2er3xu3.ollen6emj3cwccgyk3t8c46wd'},cpu_by_svc__series_8 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.eaxfwhx09aj4komi6zsd3ewhj.whdc63cqjieiergzvkpybyy2f'},cpu_by_svc__series_9 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.r74oogu6jmq0vh03nkm5i6i26.sdmknedtuxv925tbhb86mwy1i'},cpu_by_svc__series_10 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.x4tglh5k2fh3tulf079kq1ynf.a7v4vy1kqq9r3qh722svcxyt4'},cpu_by_svc__series_11 {'container_label_com_docker_swarm_task_name': 'chat-eda_postgres-exporter.1.rnmd8yyry4xf08n73vrfw0b7n'},cpu_by_svc__series_12 {'container_label_com_docker_swarm_task_name': 'chat-eda_postgres.1.2dat75nneallz4vph05t10oyi'},cpu_by_svc__series_13 {'container_label_com_docker_swarm_task_name': 'chat-eda_prometheus.1.reiqu4bn8asshio75cbs5p9uo'},cpu_by_svc__series_14 {'container_label_com_docker_swarm_task_name': 'chat-eda_search-service.1.fu66021fy9q792a69zxixdnk5'},cpu_by_svc__series_15 {'container_label_com_docker_swarm_task_name': 'chat-eda_user-service.1.7rw42ddoxl8coes8gh2ewetk3'},cpu_by_svc__series_16 {'container_label_com_docker_swarm_task_name': 'chat-eda_ws-service.1.ow0zin72glkoqfgivtdz763et'},cpu_by_svc__series_17 {'container_label_com_docker_swarm_task_name': 'chat-eda_ws-service.2.hrdg6tov5vh3nvw7poohw4byb'},cpu_by_svc__series_18 {'container_label_com_docker_swarm_task_name': 'chat-eda_ws-service.3.ilt2v6rv7qf6kpiukgeqri9mo'},mem_by_svc__series_0 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.8oss0ybm44rk9qstbv2er3xu3.ud0dxowe8ax3wblxo8eed0gax'},mem_by_svc__series_1 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.eaxfwhx09aj4komi6zsd3ewhj.mlzz4hqbxoar2vkloyxmrcrg9'},mem_by_svc__series_2 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.r74oogu6jmq0vh03nkm5i6i26.skmdgmbk6nvdu19f2jqing4ms'},mem_by_svc__series_3 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.x4tglh5k2fh3tulf079kq1ynf.nydklxmrppo2uu8kelb4iz434'},mem_by_svc__series_4 {'container_label_com_docker_swarm_task_name': 'chat-eda_elasticsearch.1.pl5svnbb5pdlpb63a1npzlb41'},mem_by_svc__series_5 {'container_label_com_docker_swarm_task_name': 'chat-eda_gateway.1.n8yt24p1a0fnex97ugbmd4o4p'},mem_by_svc__series_6 {'container_label_com_docker_swarm_task_name': 'chat-eda_kafka.1.j5k67p13gu7bp81yfugtj9fuy'},mem_by_svc__series_7 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.8oss0ybm44rk9qstbv2er3xu3.ollen6emj3cwccgyk3t8c46wd'},mem_by_svc__series_8 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.eaxfwhx09aj4komi6zsd3ewhj.whdc63cqjieiergzvkpybyy2f'},mem_by_svc__series_9 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.r74oogu6jmq0vh03nkm5i6i26.sdmknedtuxv925tbhb86mwy1i'},mem_by_svc__series_10 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.x4tglh5k2fh3tulf079kq1ynf.a7v4vy1kqq9r3qh722svcxyt4'},mem_by_svc__series_11 {'container_label_com_docker_swarm_task_name': 'chat-eda_postgres-exporter.1.rnmd8yyry4xf08n73vrfw0b7n'},mem_by_svc__series_12 {'container_label_com_docker_swarm_task_name': 'chat-eda_postgres.1.2dat75nneallz4vph05t10oyi'},mem_by_svc__series_13 {'container_label_com_docker_swarm_task_name': 'chat-eda_prometheus.1.reiqu4bn8asshio75cbs5p9uo'},mem_by_svc__series_14 {'container_label_com_docker_swarm_task_name': 'chat-eda_search-service.1.fu66021fy9q792a69zxixdnk5'},mem_by_svc__series_15 {'container_label_com_docker_swarm_task_name': 'chat-eda_user-service.1.7rw42ddoxl8coes8gh2ewetk3'},mem_by_svc__series_16 {'container_label_com_docker_swarm_task_name': 'chat-eda_ws-service.1.ow0zin72glkoqfgivtdz763et'},mem_by_svc__series_17 {'container_label_com_docker_swarm_task_name': 'chat-eda_ws-service.2.hrdg6tov5vh3nvw7poohw4byb'},mem_by_svc__series_18 {'container_label_com_docker_swarm_task_name': 'chat-eda_ws-service.3.ilt2v6rv7qf6kpiukgeqri9mo'},"ws_active_sessions__chat_ws_active_sessions {'instance': '10.0.1.33:8081', 'job': 'ws-service'}","ws_active_sessions__chat_ws_active_sessions {'instance': '10.0.1.34:8081', 'job': 'ws-service'}","ws_active_sessions__chat_ws_active_sessions {'instance': '10.0.1.35:8081', 'job': 'ws-service'}","ws_users__chat_ws_active_users {'instance': '10.0.1.33:8081', 'job': 'ws-service'}","ws_users__chat_ws_active_users {'instance': '10.0.1.34:8081', 'job': 'ws-service'}","ws_users__chat_ws_active_users {'instance': '10.0.1.35:8081', 'job': 'ws-service'}",vus_http_senders__series_0 {},vus_ws_receivers__series_0 {},ws_lat__k6_ws_delivery_latency_ms_p95 {'scenario': 'ws_receivers'}
2026-04-20 13:18:51.308000088+00:00,0.018016906991324032,0.034322479946259914,0.05862794479257556,0.04888785707273975,0.04774858544890085,0.0,0.07051761598943652,0.001582483524106833,0.003421507743101956,0.0036956024055217643,0.004070741059550826,0.0018393450924128608,0.021444521314477584,0.010352434138642702,0.04651376549741458,0.015120988389401312,0.010215696121165865,0.01946586608809737,0.021951844940709092,36331520.0,35905536.0,46465024.0,41676800.0,1034043392.0,3854336.0,399171584.0,8495104.0,7737344.0,8318976.0,7811072.0,9850880.0,87736320.0,119324672.0,336117760.0,994430976.0,260579328.0,273383424.0,268697600.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2026-04-20 13:18:56.308000088+00:00,0.018016906991324032,0.035056614994251306,0.05862794479257556,0.04888785707273975,0.04291201340297581,0.0,0.07051761598943652,0.0015946914014782912,0.003539663158710778,0.003363446153846154,0.004070741059550826,0.0018170305150162819,0.02126820430348307,0.010352434138642702,0.051555949983048584,0.015120988389401312,0.010215696121165865,0.019181794501883554,0.020241506706288652,36331520.0,34484224.0,46465024.0,41676800.0,1034043392.0,3854336.0,399171584.0,8495104.0,7774208.0,8318976.0,7811072.0,9850880.0,87736320.0,119324672.0,336306176.0,994430976.0,260579328.0,273383424.0,268746752.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2026-04-20 13:19:01.308000088+00:00,0.01816630946419631,0.035056614994251306,0.0574812970634451,0.05066984640258692,0.04455789737171409,0.0,0.06876342620035565,0.0015191992056898542,0.003539663158710778,0.003271633073365072,0.002762627616788698,0.0016732216074200874,0.02126820430348307,0.010870202569368931,0.051555949983048584,0.015255665241197121,0.00969945050569402,0.01679961383572963,0.02024150670628865,36888576.0,34484224.0,47046656.0,38821888.0,1034043392.0,3854336.0,399216640.0,8323072.0,7774208.0,7577600.0,7811072.0,9871360.0,87736320.0,123834368.0,336306176.0,994533376.0,260792320.0,273596416.0,268746752.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2026-04-20 13:19:06.308000088+00:00,0.01816630946419631,0.03263682556921765,0.0574812970634451,0.05066984640258692,0.0405116541202044,0.0,0.06876342620035565,0.0015191992056898542,0.003560468689973106,0.0038077882782875236,0.002762627616788698,0.0016732216074200877,0.020639564798994477,0.010870202569368931,0.04828497552502772,0.015255665241197121,0.00969945050569402,0.01860120228061477,0.020335751584486004,36888576.0,34574336.0,47046656.0,38821888.0,1034043392.0,3854336.0,399216640.0,8323072.0,7806976.0,7577600.0,7811072.0,9871360.0,87834624.0,123834368.0,336420864.0,994533376.0,260792320.0,273596416.0,268922880.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2026-04-20 13:19:11.308000088+00:00,0.019058776393285,0.032636825569217646,0.05821691502349773,0.048011653170057275,0.03752106430155202,0.0,0.06878918766035685,0.0014260626420711723,0.003603659133157223,0.0035663005100039238,0.0032324549291885274,0.0017505718528030834,0.020639564798994474,0.012425200168562998,0.04828497552502772,0.014576864349843215,0.009983506962141375,0.018094093769720196,0.020335751584486004,38440960.0,34574336.0,48295936.0,41603072.0,1034174464.0,3854336.0,399249408.0,8003584.0,7806976.0,7581696.0,7987200.0,9334784.0,87834624.0,128802816.0,336420864.0,994570240.0,260993024.0,273747968.0,268922880.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2026-04-20 13:19:16.308000088+00:00,0.019058776393285,0.032890026910872776,0.059825369885989285,0.04801165317005729,0.025092721692648624,0.0,0.06878918766035685,0.0014260626420711723,0.003478287828782878,0.0035663005100039238,0.0032324549291885274,0.0017505718528030834,0.020537537909265352,0.012425200168562998,0.04905195411633342,0.014576864349843215,0.009983506962141375,0.017898533131006637,0.019933533949993965,38440960.0,35885056.0,48295936.0,41603072.0,1034174464.0,3854336.0,399249408.0,8003584.0,8253440.0,7581696.0,7987200.0,9334784.0,88121344.0,128802816.0,336539648.0,994570240.0,260993024.0,273747968.0,268984320.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2026-04-20 13:19:21.308000088+00:00,0.018644745001424573,0.032890026910872776,0.058596761619190425,0.050371122584809,0.02438215351234081,0.0,0.06541014946818069,0.0014364297560293324,0.003478287828782878,0.003441802070634472,0.0029766212970376293,0.0017498765480869899,0.020537537909265352,0.012593689555125732,0.04905195411633342,0.014020601648131325,0.009749609873740966,0.017651858985934687,0.019933533949993965,37163008.0,35885056.0,46559232.0,42242048.0,1034186752.0,3854336.0,399593472.0,7950336.0,8253440.0,7675904.0,8003584.0,9224192.0,88121344.0,129724416.0,336539648.0,994615296.0,261033984.0,273846272.0,268984320.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2026-04-20 13:19:26.308000088+00:00,0.018666278673061868,0.03305735323784547,0.058596761619190425,0.050371122584809,0.022187209042304933,0.0,0.06541014946818069,0.0014364297560293324,0.003357741077019414,0.003441802070634472,0.0029766212970376293,0.0017498765480869899,0.02126774024084701,0.012593689555125732,0.044615218218599074,0.014020601648131325,0.009749609873740966,0.017651858985934687,0.020300476558999588,37163008.0,36372480.0,46559232.0,42242048.0,1034186752.0,3854336.0,399593472.0,7950336.0,8269824.0,7675904.0,8003584.0,9224192.0,87896064.0,129724416.0,336596992.0,994615296.0,261033984.0,273846272.0,269074432.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2026-04-20 13:19:31.308000088+00:00,0.017883683619444896,0.03305735323784547,0.05934137625142569,0.05037974242277527,0.022187209042304933,0.0,0.06151539659717225,0.0014149174891276292,0.003357741077019414,0.0036858542559706064,0.0028868186983268696,0.0017833633502879645,0.021267740240847013,0.012324375063423876,0.044615218218599074,0.013577656951125788,0.009549391901275751,0.01606981320113449,0.020300476558999588,39272448.0,36372480.0,46559232.0,41693184.0,1034186752.0,3854336.0,400302080.0,7966720.0,8269824.0,7839744.0,7950336.0,9887744.0,87896064.0,129732608.0,336596992.0,994689024.0,261152768.0,273846272.0,269074432.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2026-04-20 13:19:36.308000088+00:00,0.017883683619444896,0.031586108449129555,0.05765198525915361,0.05037974242277527,0.022799105127852503,0.0,0.06151539659717225,0.0014149174891276292,0.0034006575567656423,0.0036858542559706064,0.0028868186983268696,0.001783363350287964,0.020372899612236074,0.012749012689693879,0.02853218692196676,0.013577656951125788,0.009549391901275751,0.018279903730445142,0.017010772171558275,39272448.0,36900864.0,43618304.0,41693184.0,1034186752.0,3854336.0,400302080.0,7966720.0,8282112.0,7839744.0,7950336.0,9887744.0,87896064.0,129732608.0,336695296.0,994689024.0,261152768.0,273936384.0,269131776.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
