timestamp,cpu_by_svc__series_0 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.8oss0ybm44rk9qstbv2er3xu3.fp5afyx2euyn0bvpdlwu72ujt'},cpu_by_svc__series_1 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.eaxfwhx09aj4komi6zsd3ewhj.a3rcv78uhac2a0q953xjf2dhz'},cpu_by_svc__series_2 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.r74oogu6jmq0vh03nkm5i6i26.npja9wayckua1k62pd0dl6ykb'},cpu_by_svc__series_3 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.x4tglh5k2fh3tulf079kq1ynf.bogrfv2by8uf4d78x16fdh4r5'},cpu_by_svc__series_4 {'container_label_com_docker_swarm_task_name': 'chat-eda_elasticsearch.1.tdfgqdx1hv0cmdtcllg8augv6'},cpu_by_svc__series_5 {'container_label_com_docker_swarm_task_name': 'chat-eda_gateway.1.5n71nnpv2rm6m0idd82nozx8h'},cpu_by_svc__series_6 {'container_label_com_docker_swarm_task_name': 'chat-eda_kafka.1.mwwlyw1o6g834e8d5jz5q6n3a'},cpu_by_svc__series_7 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.8oss0ybm44rk9qstbv2er3xu3.mkonoq8ggxtkj1e6li7j2h6oc'},cpu_by_svc__series_8 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.eaxfwhx09aj4komi6zsd3ewhj.cu5yoildjo6i64x4vrmx5ybul'},cpu_by_svc__series_9 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.r74oogu6jmq0vh03nkm5i6i26.8yzvirnkictgmcfoqii6zfpr0'},cpu_by_svc__series_10 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.x4tglh5k2fh3tulf079kq1ynf.ipbpe137lgpzru9y0hm4wht8e'},cpu_by_svc__series_11 {'container_label_com_docker_swarm_task_name': 'chat-eda_postgres-exporter.1.cpfheuq6uvv6qkncvyhlerevz'},cpu_by_svc__series_12 {'container_label_com_docker_swarm_task_name': 'chat-eda_postgres.1.l14bl4s1rr8bbu5d594c1133t'},cpu_by_svc__series_13 {'container_label_com_docker_swarm_task_name': 'chat-eda_prometheus.1.rwgb5wlqm14s508ctihttxu4n'},cpu_by_svc__series_14 {'container_label_com_docker_swarm_task_name': 'chat-eda_search-service.1.gf47lpml0f9z6sxgbcbfr5ywf'},cpu_by_svc__series_15 {'container_label_com_docker_swarm_task_name': 'chat-eda_user-service.1.glyp2eq8tyn4vzpzphg9l6r4v'},cpu_by_svc__series_16 {'container_label_com_docker_swarm_task_name': 'chat-eda_ws-service.1.tlm06e6egabxl3lzw4cxo37wo'},cpu_by_svc__series_17 {'container_label_com_docker_swarm_task_name': 'chat-eda_ws-service.2.6ykxemp8cx3tre5loyt66bm7g'},cpu_by_svc__series_18 {'container_label_com_docker_swarm_task_name': 'chat-eda_ws-service.3.y6wd00l3n4xtv9gtnlk3rczd0'},mem_by_svc__series_0 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.8oss0ybm44rk9qstbv2er3xu3.fp5afyx2euyn0bvpdlwu72ujt'},mem_by_svc__series_1 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.eaxfwhx09aj4komi6zsd3ewhj.a3rcv78uhac2a0q953xjf2dhz'},mem_by_svc__series_2 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.r74oogu6jmq0vh03nkm5i6i26.npja9wayckua1k62pd0dl6ykb'},mem_by_svc__series_3 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.x4tglh5k2fh3tulf079kq1ynf.bogrfv2by8uf4d78x16fdh4r5'},mem_by_svc__series_4 {'container_label_com_docker_swarm_task_name': 'chat-eda_elasticsearch.1.tdfgqdx1hv0cmdtcllg8augv6'},mem_by_svc__series_5 {'container_label_com_docker_swarm_task_name': 'chat-eda_gateway.1.5n71nnpv2rm6m0idd82nozx8h'},mem_by_svc__series_6 {'container_label_com_docker_swarm_task_name': 'chat-eda_kafka.1.mwwlyw1o6g834e8d5jz5q6n3a'},mem_by_svc__series_7 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.8oss0ybm44rk9qstbv2er3xu3.mkonoq8ggxtkj1e6li7j2h6oc'},mem_by_svc__series_8 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.eaxfwhx09aj4komi6zsd3ewhj.cu5yoildjo6i64x4vrmx5ybul'},mem_by_svc__series_9 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.r74oogu6jmq0vh03nkm5i6i26.8yzvirnkictgmcfoqii6zfpr0'},mem_by_svc__series_10 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.x4tglh5k2fh3tulf079kq1ynf.ipbpe137lgpzru9y0hm4wht8e'},mem_by_svc__series_11 {'container_label_com_docker_swarm_task_name': 'chat-eda_postgres-exporter.1.cpfheuq6uvv6qkncvyhlerevz'},mem_by_svc__series_12 {'container_label_com_docker_swarm_task_name': 'chat-eda_postgres.1.l14bl4s1rr8bbu5d594c1133t'},mem_by_svc__series_13 {'container_label_com_docker_swarm_task_name': 'chat-eda_prometheus.1.rwgb5wlqm14s508ctihttxu4n'},mem_by_svc__series_14 {'container_label_com_docker_swarm_task_name': 'chat-eda_search-service.1.gf47lpml0f9z6sxgbcbfr5ywf'},mem_by_svc__series_15 {'container_label_com_docker_swarm_task_name': 'chat-eda_user-service.1.glyp2eq8tyn4vzpzphg9l6r4v'},mem_by_svc__series_16 {'container_label_com_docker_swarm_task_name': 'chat-eda_ws-service.1.tlm06e6egabxl3lzw4cxo37wo'},mem_by_svc__series_17 {'container_label_com_docker_swarm_task_name': 'chat-eda_ws-service.2.6ykxemp8cx3tre5loyt66bm7g'},mem_by_svc__series_18 {'container_label_com_docker_swarm_task_name': 'chat-eda_ws-service.3.y6wd00l3n4xtv9gtnlk3rczd0'},k6_users__series_0 {},http_rt_latency__series_0 {}
2026-04-20 15:00:50.605000019+00:00,,,,,,,,,,,,,,,,,,,,24682496.0,24350720.0,,23760896.0,,3538944.0,,7286784.0,7168000.0,,7229440.0,,46161920.0,55488512.0,,570466304.0,,248954880.0,263147520.0,,
2026-04-20 15:00:55.605000019+00:00,,,,,,,,,,,,,,,,,,,,24682496.0,24350720.0,24031232.0,23760896.0,922148864.0,3538944.0,370237440.0,7286784.0,7168000.0,7262208.0,7229440.0,8208384.0,46161920.0,55488512.0,,570466304.0,256135168.0,248954880.0,263147520.0,,
2026-04-20 15:01:00.605000019+00:00,0.006949771096064692,0.005876901378026073,,0.009544773172831271,,0.0,0.01389279198859824,0.0007091829242955462,0.0006770412476304505,,0.0010549973109428164,,0.006577536121673013,0.017295034346289755,,0.39964440979208565,,0.004823918694528441,0.007306214474350658,36687872.0,28033024.0,24031232.0,27566080.0,922148864.0,3538944.0,374988800.0,7532544.0,7442432.0,7262208.0,7434240.0,8208384.0,46178304.0,108605440.0,133763072.0,1180643328.0,256135168.0,249229312.0,263290880.0,,
2026-04-20 15:01:05.605000019+00:00,0.009165402522743909,0.00744457673494724,0.015822957185774603,0.012635196735347467,0.29231687658548927,0.0,0.01854824135144196,0.0009219718478119728,0.0008585487803052985,0.0008013331145773893,0.0013332872900889035,0.0012173076837652026,0.008486281368821305,0.023119062614840993,,0.5144847574334895,0.008572009845890348,0.006364565334536246,0.009362912614861482,36687872.0,28033024.0,39575552.0,27566080.0,947671040.0,3538944.0,374988800.0,7532544.0,7442432.0,7507968.0,7434240.0,8220672.0,46178304.0,108605440.0,133763072.0,1180643328.0,256421888.0,249229312.0,263290880.0,,
2026-04-20 15:01:10.605000019+00:00,0.011832620299794172,0.009464089065382252,0.02036547640197034,0.014568535026999879,0.3710024422881782,0.0,0.0213845568963237,0.0011050584547662417,0.0009618010535871045,0.001015444458182741,0.0016150583504484543,0.0015595075780010564,0.010405005325831636,0.017846642632480404,0.29862920818813926,0.5367358903889002,0.01084334260844741,0.00790521197454405,0.010459212211850885,36237312.0,30650368.0,39575552.0,29962240.0,947671040.0,3538944.0,377880576.0,7589888.0,7495680.0,7507968.0,7454720.0,8220672.0,47210496.0,116641792.0,209338368.0,1694277632.0,256421888.0,249229312.0,263561216.0,,
2026-04-20 15:01:15.605000019+00:00,0.014122081108917904,0.011138971213363397,0.028255276899749375,0.017369880082234397,0.2905708517675,0.0,0.025717405349113962,0.0013116461900425013,0.0011284318093129045,0.0013808079592664718,0.0019004270370840445,0.0016820423220998343,0.012350247910980432,0.021357031726094704,0.37917653339060436,0.6332442181732231,0.014096479693687936,0.009449906962235147,0.012326745259828475,36237312.0,30650368.0,42127360.0,29962240.0,953126912.0,3538944.0,377880576.0,7589888.0,7495680.0,7532544.0,7454720.0,8245248.0,47210496.0,116641792.0,209338368.0,1694277632.0,256598016.0,249950208.0,263561216.0,,
2026-04-20 15:01:20.605000019+00:00,0.016981229342674257,0.013155485700949038,0.03333981324060151,0.0208415211210498,0.34187401426749997,0.0,0.02991223502339421,0.0014030042959141474,0.0015170644498989701,0.0019592189501938086,0.002524442810733062,0.00198429339299764,0.015170375775568219,0.021160917211910196,0.4381174100192148,0.709186765938958,0.01654998284725953,0.01184587157886569,0.012994761179003786,39534592.0,30818304.0,42127360.0,30117888.0,953126912.0,3538944.0,378982400.0,7671808.0,7483392.0,7794688.0,7557120.0,8245248.0,46182400.0,118284288.0,300732416.0,1150283776.0,256598016.0,250789888.0,263757824.0,,
2026-04-20 15:01:25.605000019+00:00,0.019340705609655687,0.014868328055086012,0.03730112952972312,0.023752768245315845,0.26767270847680374,0.0,0.034210525754005086,0.0015944919208080279,0.0017136832067171264,0.0022558605596912054,0.002857293938817798,0.00246851500390264,0.01723659331218148,0.024149930269947203,0.5153609104369257,0.8030508245374505,0.02346576978062587,0.013512410756729201,0.014700774611049133,39534592.0,30818304.0,44285952.0,30117888.0,955228160.0,3538944.0,378982400.0,7671808.0,7483392.0,7794688.0,7557120.0,7938048.0,46182400.0,118284288.0,300732416.0,1150283776.0,257798144.0,250789888.0,263757824.0,,
2026-04-20 15:01:30.605000019+00:00,0.021086541102097463,0.016872704665947657,0.042246917056867526,0.026247690885010753,0.3025980805749932,0.0,0.03331691111111108,0.00175839803395039,0.0020032135940612162,0.002167777777777778,0.0031872244621050597,0.0027925620785792917,0.018942764373938815,0.02437449986482936,0.45971868919917014,0.9909374288133875,0.026495604869603888,0.013401234615122623,0.01608768054798153,37109760.0,28999680.0,44285952.0,28327936.0,955228160.0,3538944.0,378982400.0,7684096.0,7548928.0,7794688.0,7618560.0,7938048.0,47210496.0,118652928.0,308723712.0,907919360.0,257798144.0,250990592.0,264196096.0,,
2026-04-20 15:01:35.605000019+00:00,0.02338180598548916,0.018615190141034226,0.04782155313274118,0.029101111718447176,0.2612606215104506,0.0,0.042125590390345836,0.0019469808496599646,0.002209318780254898,0.0025661192177103844,0.003518950571816244,0.003408288194479245,0.02096501381135605,0.027051861537385907,0.5195402454071776,1.0944685140060855,0.027366451051965973,0.01487146622275205,0.01775978368952344,37109760.0,28999680.0,43905024.0,28327936.0,953331712.0,3538944.0,379912192.0,7684096.0,7548928.0,8101888.0,7618560.0,7921664.0,47210496.0,118652928.0,308723712.0,907919360.0,258166784.0,250990592.0,264196096.0,,
2026-04-20 15:01:40.605000019+00:00,0.02681749707979216,0.02033502346297622,0.05283329640533272,0.03327339369563925,0.288318138690416,0.0,0.05059789100177416,0.0021645396179141873,0.0025862152798881667,0.0028308197252402676,0.003908570315543436,0.0033290563862272767,0.02479569484140467,0.0294895919395466,0.44336929340842923,1.3709363912874846,0.030175636344375825,0.017166178908376493,0.019285370479900484,39321600.0,31154176.0,43905024.0,30138368.0,953331712.0,3538944.0,379912192.0,7950336.0,7442432.0,8101888.0,7639040.0,7921664.0,47210496.0,118919168.0,310067200.0,931971072.0,258166784.0,251346944.0,264441856.0,,
