timestamp,cpu_by_svc__series_0 {'container_label_com_docker_swarm_task_name': 'chat-monolith_app.1.qva7s0tjye50s5duiyh9a6k3v'},cpu_by_svc__series_1 {'container_label_com_docker_swarm_task_name': 'chat-monolith_cadvisor.igvpqjhip9f7yajebzyz7o0bb.ix8e6aiuxsomkj1zei0kg9xmh'},cpu_by_svc__series_2 {'container_label_com_docker_swarm_task_name': 'chat-monolith_cadvisor.pcm0p4f2ada7cfhyw9e47kgsy.s6dno4l0fgmnsbf02jrpvgx38'},cpu_by_svc__series_3 {'container_label_com_docker_swarm_task_name': 'chat-monolith_cadvisor.t8hzjgkdbn7sr8xr4ibxnsflv.n01axk1hqxqidduyq8kr61n5y'},cpu_by_svc__series_4 {'container_label_com_docker_swarm_task_name': 'chat-monolith_cadvisor.t9s38yiaa1pzw4hlf8zx6rk41.q3z9p65fz5ls9v1iohq9rhg2i'},cpu_by_svc__series_5 {'container_label_com_docker_swarm_task_name': 'chat-monolith_gateway.1.uo77pnztyh6tqgc3maynh7lwj'},cpu_by_svc__series_6 {'container_label_com_docker_swarm_task_name': 'chat-monolith_node-exporter.igvpqjhip9f7yajebzyz7o0bb.su88tnhh7n1wkii2t4jktri7j'},cpu_by_svc__series_7 {'container_label_com_docker_swarm_task_name': 'chat-monolith_node-exporter.pcm0p4f2ada7cfhyw9e47kgsy.mlu22uqhv1sv3expyuvrusvhg'},cpu_by_svc__series_8 {'container_label_com_docker_swarm_task_name': 'chat-monolith_node-exporter.t8hzjgkdbn7sr8xr4ibxnsflv.zc0bxj8dddb5jt9wxswbiwh48'},cpu_by_svc__series_9 {'container_label_com_docker_swarm_task_name': 'chat-monolith_node-exporter.t9s38yiaa1pzw4hlf8zx6rk41.nkh14o4ujah79x1sa6rl9zct3'},cpu_by_svc__series_10 {'container_label_com_docker_swarm_task_name': 'chat-monolith_postgres-exporter.1.v9v1f6qv8xomwogyj4693yhws'},cpu_by_svc__series_11 {'container_label_com_docker_swarm_task_name': 'chat-monolith_postgres.1.5zbad9d5bmak6y6c8ccygqt7z'},cpu_by_svc__series_12 {'container_label_com_docker_swarm_task_name': 'chat-monolith_prometheus.1.xqllceo9ef28rbxuy3ootp1j0'},mem_by_svc__series_0 {'container_label_com_docker_swarm_task_name': 'chat-monolith_app.1.qva7s0tjye50s5duiyh9a6k3v'},mem_by_svc__series_1 {'container_label_com_docker_swarm_task_name': 'chat-monolith_cadvisor.igvpqjhip9f7yajebzyz7o0bb.ix8e6aiuxsomkj1zei0kg9xmh'},mem_by_svc__series_2 {'container_label_com_docker_swarm_task_name': 'chat-monolith_cadvisor.pcm0p4f2ada7cfhyw9e47kgsy.s6dno4l0fgmnsbf02jrpvgx38'},mem_by_svc__series_3 {'container_label_com_docker_swarm_task_name': 'chat-monolith_cadvisor.t8hzjgkdbn7sr8xr4ibxnsflv.n01axk1hqxqidduyq8kr61n5y'},mem_by_svc__series_4 {'container_label_com_docker_swarm_task_name': 'chat-monolith_cadvisor.t9s38yiaa1pzw4hlf8zx6rk41.q3z9p65fz5ls9v1iohq9rhg2i'},mem_by_svc__series_5 {'container_label_com_docker_swarm_task_name': 'chat-monolith_gateway.1.uo77pnztyh6tqgc3maynh7lwj'},mem_by_svc__series_6 {'container_label_com_docker_swarm_task_name': 'chat-monolith_node-exporter.igvpqjhip9f7yajebzyz7o0bb.su88tnhh7n1wkii2t4jktri7j'},mem_by_svc__series_7 {'container_label_com_docker_swarm_task_name': 'chat-monolith_node-exporter.pcm0p4f2ada7cfhyw9e47kgsy.mlu22uqhv1sv3expyuvrusvhg'},mem_by_svc__series_8 {'container_label_com_docker_swarm_task_name': 'chat-monolith_node-exporter.t8hzjgkdbn7sr8xr4ibxnsflv.zc0bxj8dddb5jt9wxswbiwh48'},mem_by_svc__series_9 {'container_label_com_docker_swarm_task_name': 'chat-monolith_node-exporter.t9s38yiaa1pzw4hlf8zx6rk41.nkh14o4ujah79x1sa6rl9zct3'},mem_by_svc__series_10 {'container_label_com_docker_swarm_task_name': 'chat-monolith_postgres-exporter.1.v9v1f6qv8xomwogyj4693yhws'},mem_by_svc__series_11 {'container_label_com_docker_swarm_task_name': 'chat-monolith_postgres.1.5zbad9d5bmak6y6c8ccygqt7z'},mem_by_svc__series_12 {'container_label_com_docker_swarm_task_name': 'chat-monolith_prometheus.1.xqllceo9ef28rbxuy3ootp1j0'},k6_users__series_0 {},http_rt_latency__series_0 {}
2026-04-26 08:40:35.780999899+00:00,0.0055488327678308285,0.03114236716890952,0.030788015542160166,0.03132333399641651,0.012481909676402392,0.0,0.0033965975544924107,0.0037189346781181186,0.003016258382917603,0.0016071301106395412,0.003828991823434161,0.021589477063853436,0.01377883372765794,587460608.0,36167680.0,37150720.0,36499456.0,36360192.0,5709824.0,9699328.0,9777152.0,9404416.0,9203712.0,8724480.0,99512320.0,90243072.0,,
2026-04-26 08:40:40.780999899+00:00,0.0055488327678308285,0.03074874170325583,0.030788015542160166,0.031055046428361342,0.013472894327740908,0.0,0.003105662892717155,0.0037189346781181186,0.0029892323585504295,0.0015434420015164256,0.0037958287596051806,0.021437595320697236,0.013791617437969758,587460608.0,36343808.0,37150720.0,36765696.0,35274752.0,5709824.0,9699328.0,9777152.0,9564160.0,9203712.0,8736768.0,98484224.0,90230784.0,,
2026-04-26 08:40:45.780999899+00:00,0.005646875431635118,0.03074874170325583,0.0317912691869847,0.031055046428361342,0.013472894327740908,0.0,0.0033742774853518665,0.003568241784599727,0.0029892323585504295,0.0015434420015164256,0.0037958287596051806,0.020902018261406644,0.013791617437969758,587460608.0,36343808.0,40448000.0,36765696.0,35274752.0,5709824.0,9990144.0,9715712.0,9564160.0,9203712.0,8736768.0,98484224.0,90230784.0,,
2026-04-26 08:40:50.780999899+00:00,0.005646875431635118,0.029210588799919945,0.03179126918698471,0.030955722326452297,0.014045132637135334,0.0,0.0035725245161858203,0.0040513237138158405,0.0030351119657099322,0.0015974183138360773,0.003506339542266288,0.020903317938753448,0.013266169595833847,587460608.0,36343808.0,40448000.0,37588992.0,35590144.0,5709824.0,9547776.0,9715712.0,9588736.0,9203712.0,8814592.0,99389440.0,90234880.0,,
2026-04-26 08:40:55.780999899+00:00,0.0055936003219903725,0.02822440509131166,0.03347885557039104,0.030955722326452297,0.014045132637135334,0.0,0.003542328967120427,0.004088807707919525,0.003035111965709932,0.0015974183138360773,0.003506339542266288,0.020903317938753448,0.013266169595833845,587460608.0,36368384.0,36212736.0,37588992.0,35590144.0,5709824.0,9547776.0,9715712.0,9588736.0,9203712.0,8814592.0,99389440.0,90234880.0,,
2026-04-26 08:41:00.780999899+00:00,0.0055936003219903725,0.02822440509131166,0.03331480100345691,0.030342221412380667,0.013119317174977562,0.0,0.0027757500000002247,0.003918653989366432,0.0030944334591654844,0.001476423191098598,0.00358583605907362,0.020903317938753448,0.012949229678080734,587460608.0,36368384.0,35954688.0,38391808.0,36749312.0,5709824.0,9547776.0,9666560.0,9592832.0,9203712.0,8814592.0,99389440.0,90234880.0,,
2026-04-26 08:41:05.780999899+00:00,0.005735408874956454,0.028872109172157545,0.03448905302567503,0.03034222141238067,0.013119317174977562,0.0,0.0036869031515615654,0.0039054169177381833,0.0030944334591654844,0.001476423191098598,0.003312496352068859,0.020892767239496138,0.012949229678080734,587460608.0,36368384.0,35954688.0,38391808.0,36749312.0,5709824.0,9666560.0,9666560.0,9592832.0,9203712.0,8937472.0,99508224.0,90234880.0,,
2026-04-26 08:41:10.780999899+00:00,0.005735408874956454,0.028872109172157545,0.03448905302567503,0.02934489722466291,0.01332686810132782,0.0,0.0035795848655434045,0.0035676091940470005,0.0031356065653194974,0.001472228427530027,0.003200701719949792,0.020533360455661485,0.013366085263617872,587460608.0,36368384.0,35954688.0,36159488.0,40226816.0,5709824.0,9752576.0,9666560.0,9588736.0,9265152.0,8937472.0,99508224.0,90251264.0,,
2026-04-26 08:41:15.780999899+00:00,0.005616138432061015,0.02995606002925399,0.032627127670063226,0.02934489722466291,0.01332686810132782,0.0,0.0035249192669235437,0.003832522832404202,0.0031356065653194974,0.001472228427530027,0.003233515881708799,0.020533360455661485,0.013366085263617872,587460608.0,36052992.0,39333888.0,36159488.0,40226816.0,5709824.0,9752576.0,9744384.0,9588736.0,9265152.0,8970240.0,99508224.0,90251264.0,,
2026-04-26 08:41:20.780999899+00:00,0.005709765318983052,0.029485222545930008,0.032627127670063226,0.02993548191920129,0.014434301713695826,0.0,0.003531822344321837,0.003691940648771689,0.0033046091788108507,0.0015113226536946393,0.003118016103323006,0.020533360455661485,0.011965739105724545,587460608.0,36790272.0,39333888.0,38625280.0,35536896.0,5709824.0,9379840.0,9744384.0,9588736.0,9510912.0,8126464.0,99508224.0,90259456.0,,
