timestamp,cpu_by_svc__series_0 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.2psgdvtnhtcce9zjn6nhcv2x8.q59aedzbuwzqpm99018sgfhvm'},cpu_by_svc__series_1 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.gkxfmk0f14ry4f8cex3726nm9.ef610hc90cwiqazz7tp876mu6'},cpu_by_svc__series_2 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.m7evt2fhzisw4dshpe9gae22s.tein5x266qizotxmgw7s24k8e'},cpu_by_svc__series_3 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.r0dh5upwj4tebg66ket20fv8l.tkele9lzd6jsxaknjitk2z7xn'},cpu_by_svc__series_4 {'container_label_com_docker_swarm_task_name': 'chat-eda_elasticsearch.1.u65egpngpkfu0tegax8t5w1u8'},cpu_by_svc__series_5 {'container_label_com_docker_swarm_task_name': 'chat-eda_gateway.1.nwa2nhlwyep14zvflmh9kike7'},cpu_by_svc__series_6 {'container_label_com_docker_swarm_task_name': 'chat-eda_gateway.2.o0nhqa3ohi7uk8xydb3i8cd4j'},cpu_by_svc__series_7 {'container_label_com_docker_swarm_task_name': 'chat-eda_gateway.3.zgxe6iv0w9874s04m382q31ft'},cpu_by_svc__series_8 {'container_label_com_docker_swarm_task_name': 'chat-eda_kafka.1.wcpupesfmcf6n29zixjlkr8iw'},cpu_by_svc__series_9 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.2psgdvtnhtcce9zjn6nhcv2x8.zpfa3ir6d36znx1c5bvzudvyy'},cpu_by_svc__series_10 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.gkxfmk0f14ry4f8cex3726nm9.ti3ew9aspovl865ijirvp58cr'},cpu_by_svc__series_11 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.m7evt2fhzisw4dshpe9gae22s.lkuz1c1opatohk0xqc6m5xcbu'},cpu_by_svc__series_12 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.r0dh5upwj4tebg66ket20fv8l.lx660l2ztoufzta9sw7p2bz59'},cpu_by_svc__series_13 {'container_label_com_docker_swarm_task_name': 'chat-eda_postgres-exporter.1.jpt5w73vz66ncepzbuoudn5nq'},cpu_by_svc__series_14 {'container_label_com_docker_swarm_task_name': 'chat-eda_postgres.1.z6ik7jh346qtmthx1z1obz9pi'},cpu_by_svc__series_15 {'container_label_com_docker_swarm_task_name': 'chat-eda_prometheus.1.t3h4783xg5jl0aihxqit7uy3y'},cpu_by_svc__series_16 {'container_label_com_docker_swarm_task_name': 'chat-eda_search-service.1.t9g28xzyl2phgfdb2s90zxb40'},cpu_by_svc__series_17 {'container_label_com_docker_swarm_task_name': 'chat-eda_user-service.1.mc87qhfvpq4va0q9mnabxzj78'},cpu_by_svc__series_18 {'container_label_com_docker_swarm_task_name': 'chat-eda_ws-service.1.is7ii8qjchunw9w4912ft1kf1'},cpu_by_svc__series_19 {'container_label_com_docker_swarm_task_name': 'chat-eda_ws-service.2.g5b0eo9fdm0hzjmp475sjxeod'},cpu_by_svc__series_20 {'container_label_com_docker_swarm_task_name': 'chat-eda_ws-service.3.ityexad5r8xwbpkmp89cmuiuy'},mem_by_svc__series_0 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.2psgdvtnhtcce9zjn6nhcv2x8.q59aedzbuwzqpm99018sgfhvm'},mem_by_svc__series_1 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.gkxfmk0f14ry4f8cex3726nm9.ef610hc90cwiqazz7tp876mu6'},mem_by_svc__series_2 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.m7evt2fhzisw4dshpe9gae22s.tein5x266qizotxmgw7s24k8e'},mem_by_svc__series_3 {'container_label_com_docker_swarm_task_name': 'chat-eda_cadvisor.r0dh5upwj4tebg66ket20fv8l.tkele9lzd6jsxaknjitk2z7xn'},mem_by_svc__series_4 {'container_label_com_docker_swarm_task_name': 'chat-eda_elasticsearch.1.u65egpngpkfu0tegax8t5w1u8'},mem_by_svc__series_5 {'container_label_com_docker_swarm_task_name': 'chat-eda_gateway.1.nwa2nhlwyep14zvflmh9kike7'},mem_by_svc__series_6 {'container_label_com_docker_swarm_task_name': 'chat-eda_gateway.2.o0nhqa3ohi7uk8xydb3i8cd4j'},mem_by_svc__series_7 {'container_label_com_docker_swarm_task_name': 'chat-eda_gateway.3.zgxe6iv0w9874s04m382q31ft'},mem_by_svc__series_8 {'container_label_com_docker_swarm_task_name': 'chat-eda_kafka.1.wcpupesfmcf6n29zixjlkr8iw'},mem_by_svc__series_9 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.2psgdvtnhtcce9zjn6nhcv2x8.zpfa3ir6d36znx1c5bvzudvyy'},mem_by_svc__series_10 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.gkxfmk0f14ry4f8cex3726nm9.ti3ew9aspovl865ijirvp58cr'},mem_by_svc__series_11 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.m7evt2fhzisw4dshpe9gae22s.lkuz1c1opatohk0xqc6m5xcbu'},mem_by_svc__series_12 {'container_label_com_docker_swarm_task_name': 'chat-eda_node-exporter.r0dh5upwj4tebg66ket20fv8l.lx660l2ztoufzta9sw7p2bz59'},mem_by_svc__series_13 {'container_label_com_docker_swarm_task_name': 'chat-eda_postgres-exporter.1.jpt5w73vz66ncepzbuoudn5nq'},mem_by_svc__series_14 {'container_label_com_docker_swarm_task_name': 'chat-eda_postgres.1.z6ik7jh346qtmthx1z1obz9pi'},mem_by_svc__series_15 {'container_label_com_docker_swarm_task_name': 'chat-eda_prometheus.1.t3h4783xg5jl0aihxqit7uy3y'},mem_by_svc__series_16 {'container_label_com_docker_swarm_task_name': 'chat-eda_search-service.1.t9g28xzyl2phgfdb2s90zxb40'},mem_by_svc__series_17 {'container_label_com_docker_swarm_task_name': 'chat-eda_user-service.1.mc87qhfvpq4va0q9mnabxzj78'},mem_by_svc__series_18 {'container_label_com_docker_swarm_task_name': 'chat-eda_ws-service.1.is7ii8qjchunw9w4912ft1kf1'},mem_by_svc__series_19 {'container_label_com_docker_swarm_task_name': 'chat-eda_ws-service.2.g5b0eo9fdm0hzjmp475sjxeod'},mem_by_svc__series_20 {'container_label_com_docker_swarm_task_name': 'chat-eda_ws-service.3.ityexad5r8xwbpkmp89cmuiuy'},k6_users__series_0 {},http_rt_latency__series_0 {}
2026-05-06 11:02:09.994999886+00:00,0.03726511589877811,0.029965119516366743,0.03244592198581552,0.06327361982620329,0.12485893398182063,0.0004814233801306619,0.006966171281216069,0.0,0.2777182252775506,0.004140159805454221,0.0019671689989235676,0.003328057895794935,0.0034107038976149136,0.004525192679436634,0.02204677073522636,0.02514033274565831,0.10193042291950875,0.004613679416387207,0.19526814901188247,0.1974439657787769,0.10241348903241297,41299968.0,55455744.0,37277696.0,56598528.0,1110966272.0,31973376.0,32006144.0,31932416.0,1193082880.0,8896512.0,9220096.0,9170944.0,9666560.0,8478720.0,51314688.0,131354624.0,362717184.0,557236224.0,285052928.0,286224384.0,281190400.0,1.0,0.05179099999999999
2026-05-06 11:02:14.994999886+00:00,0.03726511589877811,0.03003261405064515,0.0325175699231439,0.0631186051574334,0.13490835795777018,0.0019063110609753645,0.006754351755936056,0.0,0.2817767332309242,0.0038793589400703504,0.002013778747026178,0.0038477043673012957,0.003572367887003801,0.00444412279114646,0.022009813149620614,0.02453170272074106,0.1023357548513979,0.004666479325569767,0.1964642612514617,0.1974439657787769,0.10415636649404686,41299968.0,49745920.0,38510592.0,46292992.0,1110777856.0,31993856.0,32006144.0,31932416.0,1193086976.0,8896512.0,9428992.0,9170944.0,9228288.0,8585216.0,51318784.0,131342336.0,362893312.0,557236224.0,284803072.0,286224384.0,281190400.0,1.0,0.05123164999999999
2026-05-06 11:02:19.994999886+00:00,0.03656693046536832,0.03003261405064515,0.0325175699231439,0.06311860515743341,0.13490835795777018,0.0019063110609753645,0.006754351755936056,0.0,0.28177673323092417,0.003427858016121325,0.002013778747026178,0.0033632719746174507,0.003572367887003801,0.004452763344355222,0.022009813149620614,0.02324592495999055,0.1023357548513979,0.004666479325569767,0.1964642612514617,0.1974439657787769,0.10415636649404686,40558592.0,49745920.0,38510592.0,46292992.0,1110777856.0,31993856.0,32006144.0,31932416.0,1193086976.0,8900608.0,9428992.0,9170944.0,9228288.0,8736768.0,51318784.0,131362816.0,362893312.0,557236224.0,284803072.0,286224384.0,281190400.0,1.0,0.05106427499999999
2026-05-06 11:02:24.994999886+00:00,0.03727752391397072,0.030545730289365282,0.03325123500352863,0.06451080148016489,0.13448355801685621,0.0029065163209519213,0.005157342445257687,0.0,0.28330288182708946,0.003427858016121325,0.001888630641100131,0.0036993456228553117,0.003533651687686264,0.00518672378556831,0.022135253159462392,0.02324592495999055,0.09656927253852893,0.004635261820028031,0.1962345112812737,0.1950135726530206,0.10443002084781187,40558592.0,49827840.0,39157760.0,50249728.0,1110913024.0,32022528.0,31985664.0,31932416.0,1193127936.0,8900608.0,9371648.0,9179136.0,9228288.0,8736768.0,51318784.0,131362816.0,363102208.0,557236224.0,284807168.0,286224384.0,281190400.0,1.0,0.05084752499999999
2026-05-06 11:02:29.994999886+00:00,0.03694794233820614,0.030545730289365282,0.03325123500352863,0.06451080148016489,0.13448355801685621,0.0029065163209519213,0.005157342445257687,0.0,0.28330288182708946,0.0033078370834037844,0.001888630641100131,0.0036993456228553117,0.003533651687686264,0.004164412697138743,0.022135253159462392,0.02311965948284465,0.09656927253852893,0.004635261820028031,0.1962345112812737,0.1950135726530206,0.10443002084781187,40275968.0,49827840.0,39157760.0,50249728.0,1110913024.0,32022528.0,31985664.0,31932416.0,1193127936.0,8945664.0,9371648.0,9179136.0,9228288.0,8269824.0,51318784.0,131371008.0,363102208.0,557236224.0,284807168.0,286224384.0,281190400.0,1.0,0.0507117
2026-05-06 11:02:34.994999886+00:00,0.03542674236018872,0.031014262194275406,0.0342011819849198,0.0624196802017243,0.11197726714180378,0.0038993337371290137,0.0027888972960057336,0.0,0.282757459754598,0.0033078370834037844,0.0018661678810728325,0.0036572136123981342,0.003354493187367092,0.004164412697138743,0.021778318151920488,0.02311965948284465,0.0772023849151184,0.004528175797712242,0.19779267759996672,0.191517870811989,0.10501146299955007,40275968.0,49582080.0,39985152.0,46632960.0,1110958080.0,32038912.0,31969280.0,31932416.0,1193086976.0,8945664.0,9371648.0,8855552.0,9105408.0,8269824.0,51314688.0,131371008.0,363163648.0,557236224.0,284803072.0,286228480.0,281186304.0,1.0,0.05060954999999999
2026-05-06 11:02:39.994999886+00:00,0.03542674236018872,0.031014262194275406,0.0342011819849198,0.0624196802017243,0.11197726714180378,0.0038993337371290137,0.0013377207222957609,0.0,0.282757459754598,0.00318487084870848,0.0018661678810728325,0.0036572136123981342,0.003354493187367092,0.003586789713811707,0.021778318151920488,0.022751087472318975,0.0772023849151184,0.004528175797712242,0.19779267759996672,0.1922732320280553,0.10501146299955007,40275968.0,49582080.0,39985152.0,46632960.0,1110958080.0,32038912.0,31969280.0,31932416.0,1193086976.0,9220096.0,9371648.0,8855552.0,9105408.0,8265728.0,51314688.0,131379200.0,363163648.0,557236224.0,284803072.0,286228480.0,281186304.0,1.0,0.05047914999999999
2026-05-06 11:02:44.994999886+00:00,0.03637911822679905,0.030285401183526208,0.03488781232043421,0.0638028174732061,0.11158677013456117,0.004648761581784049,0.001064915699061555,0.0,0.280636545262022,0.00318487084870848,0.0016659507812346148,0.0030587570165165156,0.003321688440549083,0.003788357732886231,0.021581735852067536,0.022751087472318975,0.07160647251748532,0.004854330471153577,0.1988327838640351,0.19208167494233064,0.105610873646786,40845312.0,50282496.0,40820736.0,51478528.0,1111281664.0,32055296.0,31940608.0,31932416.0,1193103360.0,9220096.0,9396224.0,8966144.0,9105408.0,8265728.0,51314688.0,131379200.0,363216896.0,557240320.0,285061120.0,285970432.0,281186304.0,1.0,0.050162
2026-05-06 11:02:49.994999886+00:00,0.03637911822679905,0.030285401183526208,0.03488781232043421,0.0638028174732061,0.11158677013456117,0.004648761581784049,0.0009161991105029073,0.0,0.280636545262022,0.00318487084870848,0.0016659507812346148,0.0030587570165165156,0.003321688440549083,0.004073016325367432,0.021581735852067536,0.02079063778215437,0.07160647251748532,0.004854330471153577,0.19883278386403505,0.19135330583554802,0.105610873646786,40845312.0,50282496.0,40820736.0,51478528.0,1111281664.0,32055296.0,31920128.0,31932416.0,1193103360.0,9220096.0,9396224.0,8966144.0,9105408.0,8081408.0,51314688.0,131379200.0,363216896.0,557240320.0,285061120.0,285970432.0,281186304.0,1.0,0.04989814999999999
2026-05-06 11:02:54.994999886+00:00,0.03591261465627793,0.029705763335376733,0.035178679551697595,0.06344128908089564,0.10068267442800573,0.0054061147399071365,0.0,0.0,0.27656477745107916,0.0031267320784941766,0.0016445023470443275,0.003226502342635968,0.0034471741473632174,0.004073016325367432,0.020985761096216773,0.021084960879762003,0.07690897464986275,0.004603610252319532,0.19919114668344468,0.1918820773445541,0.1025713471945312,38981632.0,53911552.0,37412864.0,49664000.0,1111023616.0,32083968.0,31920128.0,31932416.0,1193365504.0,9449472.0,9453568.0,9043968.0,9138176.0,8081408.0,51314688.0,131391488.0,363347968.0,557236224.0,285032448.0,285970432.0,281186304.0,1.0,0.04960695
